,Ugi,Sympatric cardinalis,Hybrid,Sympatric tristrami,Highland,Three Sisters,M. pulchella
CA109,1,0,0,0,0,0,0
CA114,1,0,0,0,0,0,0
CA609,1,0,0,0,0,0,0
CA610,1,0,0,0,0,0,0
CA611,1,0,0,0,0,0,0
CA612,1,0,0,0,0,0,0
CA646,1,0,0,0,0,0,0
CA647,1,0,0,0,0,0,0
CA650,1,0,0,0,0,0,0
CA651,1,0,0,0,0,0,0
CA656,1,0,0,0,0,0,0
CA814,1,0,0,0,0,0,0
CA878,1,0,0,0,0,0,0
CA879,1,0,0,0,0,0,0
CA881,1,0,0,0,0,0,0
CA883,1,0,0,0,0,0,0
CA884,1,0,0,0,0,0,0
CA885,1,0,0,0,0,0,0
CA886,1,0,0,0,0,0,0
CA888,1,0,0,0,0,0,0
CS030,0,1,0,0,0,0,0
CS041,0,1,0,0,0,0,0
CS047,0,1,0,0,0,0,0
CS050,0,1,0,0,0,0,0
CS052,0,1,0,0,0,0,0
CS502,0,1,0,0,0,0,0
CS504,0,1,0,0,0,0,0
CS509,0,1,0,0,0,0,0
CS511,0,1,0,0,0,0,0
CS518,0,1,0,0,0,0,0
CS519,0,1,0,0,0,0,0
CS520,0,1,0,0,0,0,0
CS521,0,1,0,0,0,0,0
CS526,0,1,0,0,0,0,0
CS529,0,1,0,0,0,0,0
CS531,0,1,0,0,0,0,0
CS534,0,1,0,0,0,0,0
CS536,0,1,0,0,0,0,0
CS537,0,1,0,0,0,0,0
CS540,0,1,0,0,0,0,0
CS580,0,1,0,0,0,0,0
CS583,0,1,0,0,0,0,0
CS584,0,1,0,0,0,0,0
CS586,0,1,0,0,0,0,0
CS801,0,1,0,0,0,0,0
CS802,0,1,0,0,0,0,0
CS803,0,1,0,0,0,0,0
CS816,0,1,0,0,0,0,0
CS817,0,1,0,0,0,0,0
CS819,0,1,0,0,0,0,0
CS820,0,1,0,0,0,0,0
CS822,0,1,0,0,0,0,0
CS823,0,1,0,0,0,0,0
CS830,0,1,0,0,0,0,0
CS834,0,1,0,0,0,0,0
CS836,0,1,0,0,0,0,0
CS837,0,1,0,0,0,0,0
CS850,0,1,0,0,0,0,0
CS851,0,1,0,0,0,0,0
CS858,0,1,0,0,0,0,0
MH513,0,0,1,0,0,0,0
MH535,0,0,1,0,0,0,0
MH542,0,0,1,0,0,0,0
MH627,0,0,1,0,0,0,0
MH634,0,0,1,0,0,0,0
MH644,0,0,1,0,0,0,0
MH691,0,0,0,1,0,0,0
MH831,0,0,1,0,0,0,0
MH854,0,0,1,0,0,0,0
TA588,0,0,0,0,1,0,0
TA589,0,0,0,0,1,0,0
TA590,0,0,0,0,1,0,0
TA591,0,0,0,0,1,0,0
TA592,0,0,0,0,1,0,0
TA593,0,0,0,0,1,0,0
TA594,0,0,0,0,1,0,0
TA595,0,0,0,0,1,0,0
TA596,0,0,0,0,1,0,0
TA597,0,0,0,0,1,0,0
TA598,0,0,0,0,1,0,0
TA599,0,0,0,0,1,0,0
TA660,0,0,0,0,1,0,0
TA661,0,0,0,0,1,0,0
TA662,0,0,0,0,1,0,0
TA668,0,0,0,0,1,0,0
TA670,0,0,0,0,1,0,0
TA672,0,0,0,0,1,0,0
TA674,0,0,0,0,1,0,0
TA675,0,0,0,0,1,0,0
TS027,0,0,0,1,0,0,0
TS029,0,0,0,1,0,0,0
TS031,0,0,0,1,0,0,0
TS032,0,0,0,1,0,0,0
TS033,0,0,0,1,0,0,0
TS034,0,0,0,1,0,0,0
TS035,0,0,0,1,0,0,0
TS036,0,0,0,1,0,0,0
TS037,0,0,0,1,0,0,0
TS040,0,0,0,1,0,0,0
TS042,0,0,0,1,0,0,0
TS043,0,0,0,1,0,0,0
TS512,0,0,0,1,0,0,0
TS514,0,0,0,1,0,0,0
TS528,0,0,0,1,0,0,0
TS530,0,0,0,1,0,0,0
TS532,0,0,0,1,0,0,0
TS533,0,0,0,1,0,0,0
TS538,0,0,0,1,0,0,0
TS637,0,0,0,1,0,0,0
TS639,0,0,0,1,0,0,0
TS640,0,0,0,1,0,0,0
TS641,0,0,0,1,0,0,0
TS643,0,0,0,1,0,0,0
TS690,0,0,1,0,0,0,0
TS815,0,0,0,1,0,0,0
TS824,0,0,0,1,0,0,0
TS826,0,0,0,1,0,0,0
TS833,0,0,0,1,0,0,0
TS839,0,0,0,1,0,0,0
CT869,0,0,0,0,0,1,0
CT873,0,0,0,0,0,1,0
CT813,0,0,0,0,0,1,0
CT877,0,0,0,0,0,1,0
CT810,0,0,0,0,0,1,0
CT808,0,0,0,0,0,1,0
CT809,0,0,0,0,0,1,0
CT870,0,0,0,0,0,1,0
CT874,0,0,0,0,0,1,0
CT876,0,0,0,0,0,1,0
CT807,0,0,0,0,0,1,0
CT623,0,0,0,0,0,1,0
CT619,0,0,0,0,0,1,0
CT624,0,0,0,0,0,1,0
CT615,0,0,0,0,0,1,0
CT617,0,0,0,0,0,1,0
CT618,0,0,0,0,0,1,0
CT620,0,0,0,0,0,1,0
CT621,0,0,0,0,0,1,0
CT622,0,0,0,0,0,1,0
MH515,0,0,1,0,0,0,0
MH852,0,0,1,0,0,0,0
MH853,0,0,1,0,0,0,0
KU8,0,0,0,0,0,0,1
