Number,Geo,Location,Species,Mol.Sex,Mt.Genotype,INDV,SpeciesCode
109,ALLO,Ugi,Cardinalis,F,Cardinalis,CA109,CA
114,ALLO,Ugi,Cardinalis,M,Cardinalis,CA114,CA
609,ALLO,Ugi,Cardinalis,M,Cardinalis,CA609,CA
610,ALLO,Ugi,Cardinalis,M,Cardinalis,CA610,CA
611,ALLO,Ugi,Cardinalis,M,Cardinalis,CA611,CA
612,ALLO,Ugi,Cardinalis,M,Cardinalis,CA612,CA
646,ALLO,Ugi,Cardinalis,F,Cardinalis,CA646,CA
647,ALLO,Ugi,Cardinalis,F,Cardinalis,CA647,CA
650,ALLO,Ugi,Cardinalis,M,Cardinalis,CA650,CA
651,ALLO,Ugi,Cardinalis,F,Cardinalis,CA651,CA
656,ALLO,Ugi,Cardinalis,F,Cardinalis,CA656,CA
814,ALLO,Ugi,Cardinalis,F,Cardinalis,CA814,CA
878,ALLO,Ugi,Cardinalis,M,Cardinalis,CA878,CA
879,ALLO,Ugi,Cardinalis,M,Cardinalis,CA879,CA
881,ALLO,Ugi,Cardinalis,F,Cardinalis,CA881,CA
883,ALLO,Ugi,Cardinalis,F,Cardinalis,CA883,CA
884,ALLO,Ugi,Cardinalis,F,Cardinalis,CA884,CA
885,ALLO,Ugi,Cardinalis,M,Cardinalis,CA885,CA
886,ALLO,Ugi,Cardinalis,F,Cardinalis,CA886,CA
888,ALLO,Ugi,Cardinalis,F,Cardinalis,CA888,CA
30,SYM,SH,Cardinalis,F,Cardinalis,CS030,CS
41,SYM,SH,Cardinalis,F,Cardinalis,CS041,CS
47,SYM,KK,Cardinalis,M,Cardinalis,CS047,CS
50,SYM,KK,Cardinalis,M,Cardinalis,CS050,CS
52,SYM,KK,Cardinalis,M,Cardinalis,CS052,CS
502,SYM,SH,Cardinalis,F,Cardinalis,CS502,CS
504,SYM,SH,Cardinalis,M,Cardinalis,CS504,CS
509,SYM,SH,Cardinalis,M,Cardinalis,CS509,CS
511,SYM,SH,Cardinalis,M,Cardinalis,CS511,CS
518,SYM,SH,Cardinalis,M,Cardinalis,CS518,CS
519,SYM,SH,Cardinalis,F,Cardinalis,CS519,CS
520,SYM,SH,Cardinalis,M,Cardinalis,CS520,CS
521,SYM,SH,Cardinalis,F,Cardinalis,CS521,CS
526,SYM,SH,Cardinalis,M,Cardinalis,CS526,CS
529,SYM,SH,Cardinalis,F,Cardinalis,CS529,CS
531,SYM,SH,Cardinalis,M,Cardinalis,CS531,CS
534,SYM,SH,Cardinalis,M,Cardinalis,CS534,CS
536,SYM,SH,Cardinalis,F,Cardinalis,CS536,CS
537,SYM,SH,Cardinalis,M,Cardinalis,CS537,CS
540,SYM,SH,Cardinalis,M,Cardinalis,CS540,CS
580,SYM,KK,Cardinalis,F,Cardinalis,CS580,CS
583,SYM,KK,Cardinalis,F,Cardinalis,CS583,CS
584,SYM,KK,Cardinalis,F,Cardinalis,CS584,CS
